Drug name,Disease name,Reported Effect,,
"5,6,7,8-tetrahydrobiopterin",Intrahepatic Cholestasis of Pregnancy,side effect,,
"5,6,7,8-tetrahydrobiopterin",Aortic Valve Insufficiency,side effect,,
"5,6,7,8-tetrahydrobiopterin",Arterial Occlusive Diseases,side effect,,
"5,6,7,8-tetrahydrobiopterin","Arthritis, Juvenile",side effect,,
"5,6,7,8-tetrahydrobiopterin",Atrial Flutter,side effect,,
"5,6,7,8-tetrahydrobiopterin",Behcet Syndrome,side effect,,
"5,6,7,8-tetrahydrobiopterin","Bone Diseases, Endocrine",side effect,,
"5,6,7,8-tetrahydrobiopterin",Breast Diseases,therapeutic effect,,
"5,6,7,8-tetrahydrobiopterin",Bronchiolitis,side effect,,
"5,6,7,8-tetrahydrobiopterin",Cerebellar Neoplasms,side effect,,
"5,6,7,8-tetrahydrobiopterin",Cerebral Infarction,side effect,,
"5,6,7,8-tetrahydrobiopterin",Decompression Sickness,side effect,,
"5,6,7,8-tetrahydrobiopterin",Digestive System Diseases,side effect,,
"5,6,7,8-tetrahydrobiopterin","Dyskinesia, Drug-Induced",side effect,,
"5,6,7,8-tetrahydrobiopterin",Dyspnea,side effect,,
"5,6,7,8-tetrahydrobiopterin","Epilepsies, Partial",side effect,,
"5,6,7,8-tetrahydrobiopterin","Epilepsy, Tonic-Clonic",side effect,,
"5,6,7,8-tetrahydrobiopterin",Esophagitis,side effect,,
"5,6,7,8-tetrahydrobiopterin",Fetal Distress,side effect,,
"5,6,7,8-tetrahydrobiopterin","Fractures, Closed",side effect,,
"5,6,7,8-tetrahydrobiopterin",Galactorrhea,side effect,,
"5,6,7,8-tetrahydrobiopterin",Glomerulonephritis,side effect,,
"5,6,7,8-tetrahydrobiopterin",Heart Diseases,side effect,,
"5,6,7,8-tetrahydrobiopterin",Infection,side effect,,
"5,6,7,8-tetrahydrobiopterin",Leg Ulcer,side effect,,
"5,6,7,8-tetrahydrobiopterin","Leishmaniasis, Mucocutaneous",side effect,,
"5,6,7,8-tetrahydrobiopterin",Muscular Diseases,side effect,,
"5,6,7,8-tetrahydrobiopterin",Renal Artery Obstruction,side effect,,
"5,6,7,8-tetrahydrobiopterin",Sleep Deprivation,side effect,,
"5,6,7,8-tetrahydrobiopterin","Spasms, Infantile",side effect,,
"5,6,7,8-tetrahydrobiopterin",Stomach Ulcer,side effect,,
"5,6,7,8-tetrahydrobiopterin","Stress Disorders, Post-Traumatic",side effect,,
"5,6,7,8-tetrahydrobiopterin",Sturge-Weber Syndrome,side effect,,
"5,6,7,8-tetrahydrobiopterin",Substance Withdrawal Syndrome,side effect,,
"5,6,7,8-tetrahydrobiopterin",Vomiting,side effect,,
"5,6,7,8-tetrahydrobiopterin",Glucose Intolerance,side effect,,
"5,6,7,8-tetrahydrobiopterin",Systemic Inflammatory Response Syndrome,side effect,,
"5,6,7,8-tetrahydrobiopterin",Thrombophilia,side effect,,
"5,6,7,8-tetrahydrobiopterin","Diabetes Insipidus, Neurogenic",therapeutic effect,,
"5,6,7,8-tetrahydrobiopterin",Gastrointestinal Stromal Tumors,side effect,,
"5,6,7,8-tetrahydrobiopterin","Lipodystrophy, Familial Partial",side effect,,
6-Mercaptopurine,Intrahepatic Cholestasis of Pregnancy,side effect,,
6-Mercaptopurine,"Hypomagnesemia 2, renal",side effect,,
6-Mercaptopurine,Altitude Sickness,side effect,,
6-Mercaptopurine,"Anemia, Hemolytic, Autoimmune",side effect,,
6-Mercaptopurine,Urinary Bladder Diseases,side effect,,
6-Mercaptopurine,Bone Neoplasms,side effect,,
6-Mercaptopurine,Bone Resorption,side effect,,
6-Mercaptopurine,"Brain Damage, Chronic",side effect,,
6-Mercaptopurine,Breast Neoplasms,side effect,,
6-Mercaptopurine,Bronchiolitis,side effect,,
6-Mercaptopurine,Celiac Disease,side effect,,
6-Mercaptopurine,Cerebellar Ataxia,side effect,,
6-Mercaptopurine,"Child Development Disorders, Pervasive",side effect,,
6-Mercaptopurine,Chorea,side effect,,
6-Mercaptopurine,Cystic Fibrosis,side effect,,
6-Mercaptopurine,"Hearing Loss, Sudden",side effect,,
6-Mercaptopurine,Dermatitis,therapeutic effect,,
6-Mercaptopurine,"Diabetes Mellitus, Experimental",side effect,,
6-Mercaptopurine,"Diabetes Mellitus, Type 2",side effect,,
6-Mercaptopurine,Dizziness,therapeutic effect,,
6-Mercaptopurine,"Dyskinesia, Drug-Induced",side effect,,
6-Mercaptopurine,Dyspnea,side effect,,
6-Mercaptopurine,Enuresis,side effect,,
6-Mercaptopurine,Epilepsy,side effect,,
6-Mercaptopurine,Eyelid Neoplasms,side effect,,
6-Mercaptopurine,Fibromyalgia,side effect,,
6-Mercaptopurine,Glomerulonephritis,side effect,,
6-Mercaptopurine,"Glomerulonephritis, IGA",side effect,,
6-Mercaptopurine,Heart Diseases,side effect,,
6-Mercaptopurine,Heart Failure,side effect,,
6-Mercaptopurine,Heart Valve Diseases,side effect,,
6-Mercaptopurine,Herpes Genitalis,side effect,,
6-Mercaptopurine,"Hyperparathyroidism, Secondary",therapeutic effect,,
6-Mercaptopurine,Disorders of Excessive Somnolence,side effect,,
6-Mercaptopurine,"Hypertension, Pulmonary",side effect,,
6-Mercaptopurine,"Hypertension, Renal",side effect,,
6-Mercaptopurine,Hypertrophy,side effect,,
6-Mercaptopurine,Hyphema,side effect,,
6-Mercaptopurine,Hypopituitarism,side effect,,
6-Mercaptopurine,Leg Ulcer,side effect,,
6-Mercaptopurine,"Leishmaniasis, Mucocutaneous",side effect,,
6-Mercaptopurine,"Lupus Erythematosus, Discoid",therapeutic effect,,
6-Mercaptopurine,"Lupus Erythematosus, Systemic",therapeutic effect,,
6-Mercaptopurine,"Meningitis, Pneumococcal",side effect,,
6-Mercaptopurine,Meningoencephalitis,side effect,,
6-Mercaptopurine,Mixed Connective Tissue Disease,side effect,,
6-Mercaptopurine,Muscle Rigidity,side effect,,
6-Mercaptopurine,Muscular Diseases,side effect,,
6-Mercaptopurine,"Nails, Malformed",side effect,,
6-Mercaptopurine,Neural Tube Defects,side effect,,
6-Mercaptopurine,Pain,side effect,,
6-Mercaptopurine,"Pain, Intractable",side effect,,
6-Mercaptopurine,Paraplegia,side effect,,
6-Mercaptopurine,"Pemphigoid, Bullous",side effect,,
6-Mercaptopurine,Pemphigus,side effect,,
6-Mercaptopurine,Plasmacytoma,side effect,,
6-Mercaptopurine,Polycythemia,side effect,,
6-Mercaptopurine,Polyuria,side effect,,
6-Mercaptopurine,Pre-Eclampsia,side effect,,
6-Mercaptopurine,Pregnancy Complications,side effect,,
6-Mercaptopurine,"Pregnancy, Prolonged",side effect,,
6-Mercaptopurine,Pulmonary Emphysema,side effect,,
6-Mercaptopurine,Recurrence,therapeutic effect,,
6-Mercaptopurine,Renal Osteodystrophy,side effect,,
6-Mercaptopurine,Retinal Vein Occlusion,side effect,,
6-Mercaptopurine,Sarcoidosis,side effect,,
6-Mercaptopurine,Sciatica,side effect,,
6-Mercaptopurine,"Shock, Septic",therapeutic effect,,
6-Mercaptopurine,Skin Diseases,side effect,,
6-Mercaptopurine,Skin Ulcer,therapeutic effect,,
6-Mercaptopurine,Sleep Deprivation,side effect,,
6-Mercaptopurine,Stevens-Johnson Syndrome,side effect,,
6-Mercaptopurine,Stomach Ulcer,side effect,,
6-Mercaptopurine,Trismus,side effect,,
6-Mercaptopurine,Urinary Calculi,side effect,,
6-Mercaptopurine,Retinal Artery Occlusion,side effect,,
6-Mercaptopurine,Weight Loss,side effect,,
6-Mercaptopurine,"Panniculitis, Peritoneal",side effect,,
6-Mercaptopurine,"Lymphoma, Large B-Cell, Diffuse",therapeutic effect,,
6-Mercaptopurine,Ovarian Hyperstimulation Syndrome,side effect,,
6-Mercaptopurine,"Death, Sudden, Cardiac",therapeutic effect,,
6-Mercaptopurine,"Toxoplasmosis, Cerebral",therapeutic effect,,
6-Mercaptopurine,POEMS Syndrome,therapeutic effect,,
6-Mercaptopurine,"Epilepsy, Complex Partial",therapeutic effect,,
6-Mercaptopurine,Low Back Pain,side effect,,
6-Mercaptopurine,"Tachycardia, Ventricular",side effect,,
6-Mercaptopurine,Polymyositis,side effect,,
6-Mercaptopurine,"Skin Diseases, Vascular",side effect,,
6-Mercaptopurine,Pelvic Pain,side effect,,
6-Mercaptopurine,"Neurofibroma, Plexiform",side effect,,
6-Mercaptopurine,"Vasculitis, Leukocytoclastic, Cutaneous",side effect,,
6-Mercaptopurine,Systemic Inflammatory Response Syndrome,side effect,,
6-Mercaptopurine,"Optic Neuropathy, Ischemic",side effect,,
6-Mercaptopurine,"Sleep Apnea, Central",side effect,,
6-Mercaptopurine,MPTP Poisoning,therapeutic effect,,
6-Mercaptopurine,"Muscular Dystrophy, Duchenne",side effect,,
6-Mercaptopurine,Amaurosis Fugax,side effect,,
6-Mercaptopurine,Metabolic Syndrome X,side effect,,
6-Mercaptopurine,"Pulmonary Disease, Chronic Obstructive",therapeutic effect,,
6-Mercaptopurine,Glucose Metabolism Disorders,side effect,,
6-Mercaptopurine,"Renal Insufficiency, Chronic",side effect,,
6-Mercaptopurine,"Kidney Diseases, Cystic",therapeutic effect,,
6-Mercaptopurine,"Urinary Incontinence, Urge",side effect,,
6-Mercaptopurine,Latent Tuberculosis,therapeutic effect,,
6-Mercaptopurine,Drug Overdose,side effect,,
9-hydroxy-risperidone,Aortic Aneurysm,side effect,,
9-hydroxy-risperidone,"Arrhythmias, Cardiac",side effect,,
9-hydroxy-risperidone,"Arrhythmia, Sinus",side effect,,
9-hydroxy-risperidone,"Arthritis, Juvenile",side effect,,
9-hydroxy-risperidone,Bronchitis,side effect,,
9-hydroxy-risperidone,Bronchopneumonia,therapeutic effect,,
9-hydroxy-risperidone,Burkitt Lymphoma,side effect,,
9-hydroxy-risperidone,"Carcinoma, Non-Small-Cell Lung",side effect,,
9-hydroxy-risperidone,Colitis,side effect,,
9-hydroxy-risperidone,Esophageal and Gastric Varices,side effect,,
9-hydroxy-risperidone,Exanthema,side effect,,
9-hydroxy-risperidone,Fibromyalgia,side effect,,
9-hydroxy-risperidone,Galactorrhea,side effect,,
9-hydroxy-risperidone,Graft vs Host Disease,side effect,,
9-hydroxy-risperidone,Hair Diseases,side effect,,
9-hydroxy-risperidone,"Hypotension, Orthostatic",therapeutic effect,,
9-hydroxy-risperidone,"Infant, Premature, Diseases",side effect,,
9-hydroxy-risperidone,Lactation Disorders,side effect,,
9-hydroxy-risperidone,"Leishmaniasis, Mucocutaneous",side effect,,
9-hydroxy-risperidone,Liver Cirrhosis,side effect,,
9-hydroxy-risperidone,"Liver Cirrhosis, Experimental",side effect,,
9-hydroxy-risperidone,Migraine Disorders,side effect,,
9-hydroxy-risperidone,Mycosis Fungoides,side effect,,
9-hydroxy-risperidone,Myoma,side effect,,
9-hydroxy-risperidone,Pituitary Diseases,therapeutic effect,,
9-hydroxy-risperidone,Pruritus,side effect,,
9-hydroxy-risperidone,Pulmonary Embolism,side effect,,
9-hydroxy-risperidone,Sciatica,therapeutic effect,,
9-hydroxy-risperidone,Tuberous Sclerosis,side effect,,
9-hydroxy-risperidone,Peripheral Vascular Diseases,side effect,,
9-hydroxy-risperidone,"Tachycardia, Ventricular",side effect,,
9-hydroxy-risperidone,Glucose Intolerance,therapeutic effect,,
9-hydroxy-risperidone,Systemic Inflammatory Response Syndrome,side effect,,
9-hydroxy-risperidone,Conduct Disorder,side effect,,
9-hydroxy-risperidone,Mucositis,side effect,,
Acarbose,Ovarian epithelial cancer,side effect,,
Acarbose,"High serum cholesterol, familial",side effect,,
Acarbose,Agoraphobia,therapeutic effect,,
Acarbose,Altitude Sickness,side effect,,
Acarbose,"Anemia, Hemolytic, Autoimmune",side effect,,
Acarbose,Arteriosclerosis,side effect,,
Acarbose,Atrial Fibrillation,side effect,,
Acarbose,Atrial Flutter,side effect,,
Acarbose,Bipolar Disorder,side effect,,
Acarbose,Urinary Bladder Calculi,side effect,,
Acarbose,Bone Neoplasms,side effect,,
Acarbose,Bronchopneumonia,side effect,,
Acarbose,Calcinosis,side effect,,
Acarbose,Carotid Artery Diseases,side effect,,
Acarbose,Intracranial Aneurysm,side effect,,
Acarbose,Chorea,side effect,,
Acarbose,Chromosome Aberrations,therapeutic effect,,
Acarbose,Constipation,side effect,,
Acarbose,Cystic Fibrosis,side effect,,
Acarbose,"Diabetes Mellitus, Experimental",side effect,,
Acarbose,"Diabetes Mellitus, Type 1",side effect,,
Acarbose,Dyspnea,side effect,,
Acarbose,Ear Neoplasms,side effect,,
Acarbose,Eczema,side effect,,
Acarbose,"Endocarditis, Bacterial",therapeutic effect,,
Acarbose,Endometrial Hyperplasia,side effect,,
Acarbose,Endometriosis,side effect,,
Acarbose,Enteritis,side effect,,
Acarbose,Epilepsy,side effect,,
Acarbose,"Epilepsy, Absence",side effect,,
Acarbose,Eyelid Neoplasms,side effect,,
Acarbose,Facial Neuralgia,side effect,,
Acarbose,Fetal Death,therapeutic effect,,
Acarbose,"Glomerulonephritis, IGA",therapeutic effect,,
Acarbose,Graft vs Host Disease,side effect,,
Acarbose,"Granuloma, Laryngeal",side effect,,
Acarbose,"Hearing Loss, Bilateral",therapeutic effect,,
Acarbose,Hemophilia A,side effect,,
Acarbose,Hyperaldosteronism,side effect,,
Acarbose,Hypertension,side effect,,
Acarbose,Hypoparathyroidism,therapeutic effect,,
Acarbose,"Leishmaniasis, Visceral",therapeutic effect,,
Acarbose,Nasal Polyps,side effect,,
Acarbose,Pericarditis,side effect,,
Acarbose,Polycythemia,side effect,,
Acarbose,Pseudohypoaldosteronism,side effect,,
Acarbose,Hyperacusis,side effect,,
Acarbose,Rheumatic Heart Disease,side effect,,
Acarbose,Sarcoidosis,side effect,,
Acarbose,"Schizophrenia, Paranoid",side effect,,
Acarbose,"Sinus Thrombosis, Intracranial",side effect,,
Acarbose,Skin Diseases,side effect,,
Acarbose,Staphylococcal Infections,side effect,,
Acarbose,Status Epilepticus,side effect,,
Acarbose,Stevens-Johnson Syndrome,side effect,,
Acarbose,"Stress Disorders, Post-Traumatic",side effect,,
Acarbose,Strongyloidiasis,side effect,,
Acarbose,Tinnitus,side effect,,
Acarbose,Trigeminal Neuralgia,side effect,,
Acarbose,Vomiting,side effect,,
Acarbose,Retinal Artery Occlusion,side effect,,
Acarbose,"Osteoporosis, Postmenopausal",therapeutic effect,,
Acarbose,"Mammary Neoplasms, Animal",side effect,,
Acarbose,Spinal Fractures,side effect,,
Acarbose,Peripheral Vascular Diseases,side effect,,
Acarbose,Mitochondrial Myopathies,side effect,,
Acarbose,MELAS Syndrome,side effect,,
Acarbose,"Anemia, Iron-Deficiency",side effect,,
Acarbose,Neurotoxicity Syndromes,side effect,,
Acarbose,Parkinsonian Disorders,side effect,,
Acarbose,"Bronchitis, Chronic",therapeutic effect,,
Acarbose,Hypoalbuminemia,side effect,,
Acarbose,Alexander Disease,side effect,,
Acarbose,Gastrointestinal Stromal Tumors,side effect,,
Acarbose,Acute Coronary Syndrome,side effect,,
Acebutolol,Brachydactyly with hypertension,side effect,,
Acebutolol,"Hypoglycemia, leucine-induced",side effect,,
Acebutolol,Ovarian epithelial cancer,side effect,,
Acebutolol,"High serum cholesterol, familial",side effect,,
Acebutolol,Altitude Sickness,side effect,,
Acebutolol,Amnesia,side effect,,
Acebutolol,"Anemia, Hemolytic, Autoimmune",side effect,,
Acebutolol,Angina Pectoris,side effect,,
Acebutolol,Aortic Aneurysm,side effect,,
Acebutolol,Arthritis,side effect,,
Acebutolol,Atrial Fibrillation,side effect,,
Acebutolol,Autistic Disorder,side effect,,
Acebutolol,Autoimmune Diseases,therapeutic effect,,
Acebutolol,Berylliosis,therapeutic effect,,
Acebutolol,Urinary Bladder Diseases,side effect,,
Acebutolol,Bone Diseases,side effect,,
Acebutolol,Breast Neoplasms,side effect,,
Acebutolol,Bronchitis,side effect,,
Acebutolol,Carotid Artery Diseases,side effect,,
Acebutolol,Catalepsy,side effect,,
Acebutolol,Cholestasis,side effect,,
Acebutolol,Coxsackievirus Infections,side effect,,
Acebutolol,Cystic Fibrosis,side effect,,
Acebutolol,"Dermatitis, Contact",side effect,,
Acebutolol,Digestive System Diseases,side effect,,
Acebutolol,Dyspnea,side effect,,
Acebutolol,Ear Neoplasms,side effect,,
Acebutolol,Exanthema,side effect,,
Acebutolol,Eyelid Neoplasms,side effect,,
Acebutolol,Flatulence,side effect,,
Acebutolol,Friedreich Ataxia,side effect,,
Acebutolol,"Glomerulonephritis, IGA",side effect,,
Acebutolol,Gonadal Dysgenesis,side effect,,
Acebutolol,Graft vs Host Disease,side effect,,
Acebutolol,"Granuloma, Laryngeal",side effect,,
Acebutolol,Head and Neck Neoplasms,side effect,,
Acebutolol,Hemangioma,side effect,,
Acebutolol,Hyperemia,side effect,,
Acebutolol,Hyperlipoproteinemia Type V,side effect,,
Acebutolol,Hyperplasia,side effect,,
Acebutolol,Disorders of Excessive Somnolence,side effect,,
Acebutolol,Hypervitaminosis A,side effect,,
Acebutolol,Impulse Control Disorders,side effect,,
Acebutolol,"Infertility, Male",therapeutic effect,,
Acebutolol,Nasal Polyps,side effect,,
Acebutolol,Neural Tube Defects,side effect,,
Acebutolol,Obesity,side effect,,
Acebutolol,Oligomenorrhea,side effect,,
Acebutolol,Paranoid Disorders,side effect,,
Acebutolol,Pemphigus,side effect,,
Acebutolol,Pericarditis,side effect,,
Acebutolol,Pica,side effect,,
Acebutolol,Plasmacytoma,side effect,,
Acebutolol,Hyperacusis,side effect,,
Acebutolol,Rectal Neoplasms,side effect,,
Acebutolol,"Respiratory Distress Syndrome, Newborn",side effect,,
Acebutolol,Respiratory Insufficiency,side effect,,
Acebutolol,Retinoblastoma,side effect,,
Acebutolol,Rheumatic Diseases,side effect,,
Acebutolol,Sarcoidosis,side effect,,
Acebutolol,"Sinus Thrombosis, Intracranial",side effect,,
Acebutolol,Status Epilepticus,side effect,,
Acebutolol,Stomach Diseases,side effect,,
Acebutolol,Stomatitis,side effect,,
Acebutolol,Sturge-Weber Syndrome,side effect,,
Acebutolol,Substance Withdrawal Syndrome,side effect,,
Acebutolol,Takayasu Arteritis,therapeutic effect,,
Acebutolol,Trismus,side effect,,
Acebutolol,Retinal Artery Occlusion,side effect,,
Acebutolol,Weight Loss,side effect,,
Acebutolol,Sjogren-Larsson Syndrome,side effect,,
Acebutolol,"Tachycardia, Ventricular",therapeutic effect,,
Acebutolol,Mitochondrial Myopathies,side effect,,
Acebutolol,Polymyositis,side effect,,
Acebutolol,"Lung Diseases, Interstitial",therapeutic effect,,
Acebutolol,Neuroectodermal Tumors,side effect,,
Acebutolol,"Breast Neoplasms, Male",therapeutic effect,,
Acebutolol,Thrombophilia,side effect,,
Acebutolol,Conduct Disorder,side effect,,
Acebutolol,"Sleep Apnea, Central",side effect,,
Acebutolol,MPTP Poisoning,side effect,,
Acebutolol,Parkinsonian Disorders,side effect,,
Acebutolol,Atherosclerosis,therapeutic effect,,
Acebutolol,Acute Coronary Syndrome,side effect,,
Acebutolol,Intervertebral Disc Degeneration,side effect,,
Acebutolol,Drug Overdose,side effect,,
Acenocoumarol,"Thyroid cancer, papillary",side effect,,
Acenocoumarol,"High serum cholesterol, familial",side effect,,
Acenocoumarol,"Anemia, Hemolytic, Autoimmune",side effect,,
Acenocoumarol,Atrial Fibrillation,side effect,,
Acenocoumarol,Berylliosis,therapeutic effect,,
Acenocoumarol,Bone Neoplasms,side effect,,
Acenocoumarol,Borderline Personality Disorder,therapeutic effect,,
Acenocoumarol,"Brain Damage, Chronic",side effect,,
Acenocoumarol,Breast Neoplasms,side effect,,
Acenocoumarol,Calcinosis,side effect,,
Acenocoumarol,Carotid Artery Diseases,side effect,,
Acenocoumarol,Intracranial Aneurysm,side effect,,
Acenocoumarol,Constipation,side effect,,
Acenocoumarol,Digestive System Diseases,side effect,,
Acenocoumarol,Dyspepsia,side effect,,
Acenocoumarol,Ear Neoplasms,side effect,,
Acenocoumarol,Eyelid Neoplasms,side effect,,
Acenocoumarol,Facial Neuralgia,therapeutic effect,,
Acenocoumarol,Fatigue,side effect,,
Acenocoumarol,Fibromyalgia,side effect,,
Acenocoumarol,Head and Neck Neoplasms,side effect,,
Acenocoumarol,"Hepatitis, Animal",side effect,,
Acenocoumarol,"Histiocytosis, Langerhans-Cell",side effect,,
Acenocoumarol,Hyperaldosteronism,side effect,,
Acenocoumarol,Hyperemia,side effect,,
Acenocoumarol,"Hypertension, Renovascular",side effect,,
Acenocoumarol,Insect Bites and Stings,side effect,,
Acenocoumarol,Leg Ulcer,side effect,,
Acenocoumarol,Migraine Disorders,side effect,,
Acenocoumarol,Neurotic Disorders,side effect,,
Acenocoumarol,Paralysis,therapeutic effect,,
Acenocoumarol,Pica,side effect,,
Acenocoumarol,Plasmacytoma,side effect,,
Acenocoumarol,Polycythemia,side effect,,
Acenocoumarol,Polyploidy,side effect,,
Acenocoumarol,Hyperacusis,side effect,,
Acenocoumarol,Retinal Vein Occlusion,side effect,,
Acenocoumarol,Retinoblastoma,side effect,,
Acenocoumarol,Rickets,therapeutic effect,,
Acenocoumarol,Sigmoid Neoplasms,side effect,,
Acenocoumarol,"Sinus Thrombosis, Intracranial",side effect,,
Acenocoumarol,"Spasms, Infantile",side effect,,
Acenocoumarol,Stomach Ulcer,side effect,,
Acenocoumarol,Stomatitis,side effect,,
Acenocoumarol,"Stomatitis, Aphthous",side effect,,
Acenocoumarol,Thromboangiitis Obliterans,side effect,,
Acenocoumarol,Tibial Fractures,therapeutic effect,,
Acenocoumarol,Tietze's Syndrome,therapeutic effect,,
Acenocoumarol,Retinal Artery Occlusion,side effect,,
Acenocoumarol,Bacteremia,therapeutic effect,,
Acenocoumarol,"Tachycardia, Ventricular",side effect,,
Acenocoumarol,MELAS Syndrome,side effect,,
Acenocoumarol,Thrombophilia,therapeutic effect,,
Acenocoumarol,"Renal Insufficiency, Chronic",side effect,,
Acenocoumarol,Acute Coronary Syndrome,side effect,,
Acenocoumarol,Takotsubo Cardiomyopathy,therapeutic effect,,
Acetaminophen,"High serum cholesterol, familial",side effect,,
Acetaminophen,Altitude Sickness,side effect,,
Acetaminophen,Amnesia,side effect,,
Acetaminophen,Angina Pectoris,side effect,,
Acetaminophen,Anorexia Nervosa,therapeutic effect,,
Acetaminophen,Arterial Occlusive Diseases,side effect,,
Acetaminophen,Atrial Flutter,side effect,,
Acetaminophen,Autistic Disorder,side effect,,
Acetaminophen,Bacterial Infections,side effect,,
Acetaminophen,Mental Disorders,side effect,,
Acetaminophen,Behcet Syndrome,side effect,,
Acetaminophen,Berylliosis,side effect,,
Acetaminophen,Urinary Bladder Calculi,therapeutic effect,,
Acetaminophen,Blepharoptosis,therapeutic effect,,
Acetaminophen,Blepharospasm,side effect,,
Acetaminophen,Bone Diseases,side effect,,
Acetaminophen,"Bone Diseases, Endocrine",side effect,,
Acetaminophen,"Brain Damage, Chronic",side effect,,
Acetaminophen,Bronchiectasis,side effect,,
Acetaminophen,Bronchitis,side effect,,
Acetaminophen,Calcinosis,side effect,,
Acetaminophen,Carotid Artery Diseases,side effect,,
Acetaminophen,Catalepsy,side effect,,
Acetaminophen,Cerebellar Ataxia,side effect,,
Acetaminophen,Cerebellar Neoplasms,side effect,,
Acetaminophen,Cerebral Infarction,side effect,,
Acetaminophen,Chorea,side effect,,
Acetaminophen,Cleft Palate,therapeutic effect,,
Acetaminophen,Coma,side effect,,
Acetaminophen,Coxsackievirus Infections,side effect,,
Acetaminophen,"Dermatitis, Atopic",therapeutic effect,,
Acetaminophen,"Diabetes Mellitus, Experimental",side effect,,
Acetaminophen,Digestive System Diseases,side effect,,
Acetaminophen,Dizziness,therapeutic effect,,
Acetaminophen,"Dyskinesia, Drug-Induced",side effect,,
Acetaminophen,Dyspnea,side effect,,
Acetaminophen,Eclampsia,side effect,,
Acetaminophen,Enuresis,side effect,,
Acetaminophen,"Epilepsies, Partial",side effect,,
Acetaminophen,"Epilepsy, Absence",side effect,,
Acetaminophen,Exanthema,side effect,,
Acetaminophen,Fibromyalgia,side effect,,
Acetaminophen,"Fractures, Closed",side effect,,
Acetaminophen,Glomerulonephritis,side effect,,
Acetaminophen,"Glomerulonephritis, IGA",side effect,,
Acetaminophen,Head and Neck Neoplasms,side effect,,
Acetaminophen,Huntington Disease,side effect,,
Acetaminophen,Hyperlipoproteinemia Type V,side effect,,
Acetaminophen,Hypopituitarism,side effect,,
Acetaminophen,Infection,side effect,,
Acetaminophen,"Infertility, Male",side effect,,
Acetaminophen,Insect Bites and Stings,side effect,,
Acetaminophen,Leg Ulcer,side effect,,
Acetaminophen,"Leishmaniasis, Mucocutaneous",side effect,,
Acetaminophen,"Leishmaniasis, Visceral",therapeutic effect,,
Acetaminophen,Leukemia,side effect,,
Acetaminophen,Melanoma,side effect,,
Acetaminophen,Mixed Connective Tissue Disease,therapeutic effect,,
Acetaminophen,Morphine Dependence,therapeutic effect,,
Acetaminophen,Mucocele,side effect,,
Acetaminophen,Muscular Diseases,therapeutic effect,,
Acetaminophen,Myocarditis,side effect,,
Acetaminophen,Nausea,therapeutic effect,,
Acetaminophen,"Neoplasms, Germ Cell and Embryonal",side effect,,
